# drive_type: ssd
Timestamp,Percentage_Used,Available_Spare,Reallocated_Block_Count,Uncorrectable_Error_Count,Temperature,Power_On_Hours
1783093114.7423892,16,100,0,0,42,1963
1783277474.19227,16,100,0,0,39,1966
1783277479.2972438,16,100,0,0,39,1966
1783277484.3772876,16,100,0,0,39,1966
1783277489.4715621,16,100,0,0,39,1966
1783277494.552011,16,100,0,0,38,1966
1783277499.6307561,16,100,0,0,39,1966
1783277504.7256591,16,100,0,0,38,1966
1783277509.8102512,16,100,0,0,39,1966
1783277514.8873713,16,100,0,0,38,1966
1783277519.9495695,16,100,0,0,38,1966
1783277525.0077646,16,100,0,0,39,1966
1783277530.0629816,16,100,0,0,39,1966
1783277535.144489,16,100,0,0,39,1966
1783278786.3786075,16,100,0,0,39,1966
1783278791.461458,16,100,0,0,39,1966
1783278796.5432208,100,0,9999,9999,150,9999
1783278801.6293154,100,0,9999,9999,150,9999
1783278806.7030382,100,0,9999,9999,150,9999
1783278811.7674558,100,0,9999,9999,150,9999
1783278816.829543,16,100,0,0,38,1966
1783278821.8954704,16,100,0,0,39,1966
1783278826.9628918,16,100,0,0,39,1966
1783320413.9731047,16,100,0,0,52,1967
1783320419.1155438,16,100,0,0,52,1967
1783320424.2088854,16,100,0,0,52,1967
1783320429.3138883,16,100,0,0,53,1967
1783320434.4094784,16,100,0,0,52,1967
1783320439.498711,16,100,0,0,53,1967
1783329438.2214313,16,100,0,0,50,1967
1783329443.3844352,16,100,0,0,51,1967
1783329448.525112,16,100,0,0,51,1967
1783329453.6762109,16,100,0,0,51,1967
1783329458.8399558,16,100,0,0,51,1967
1783329463.942617,16,100,0,0,51,1967
1783329469.0496805,16,100,0,0,51,1967
1783329474.1453142,16,100,0,0,51,1967
1783329479.2713122,16,100,0,0,51,1967
1783329484.3611584,16,100,0,0,51,1967
1783329489.5410492,16,100,0,0,51,1967
1783329494.740501,16,100,0,0,51,1967
1783329499.9260566,16,100,0,0,51,1967
1783329505.0985966,16,100,0,0,51,1967
1783329510.2168334,16,100,0,0,51,1967
1783329515.3884628,16,100,0,0,51,1967
1783329520.56163,16,100,0,0,51,1967
1783329525.7416887,16,100,0,0,51,1967
1783329530.9157784,16,100,0,0,51,1967
1783329536.0965655,16,100,0,0,51,1967
1783329541.266277,16,100,0,0,51,1967
1783329546.412257,16,100,0,0,51,1967
